"visitor_id","timestamp","variant","converted","page_views","session_duration","referrer","user_agent","device"
33,2025-06-12 16:23:29,"VariantC",0,6,13,"google","Chrome","Mobile"
34,2025-06-07 20:43:22,"Control",0,5,49,"facebook","Edge","Mobile"
35,2025-05-20 23:53:57,"VariantC",0,3,7,"direct","Chrome","Desktop"
36,2025-05-31 01:25:24,"VariantA",0,8,22,"google","Chrome","Desktop"
37,2025-06-13 20:49:50,"Control",0,7,11,"twitter","Safari","Desktop"
38,2025-06-04 06:42:32,"VariantC",0,11,28,"email","Edge","Desktop"
39,2025-05-29 21:23:34,"Control",0,10,24,"email","Safari","Desktop"
40,2025-06-11 00:49:14,"Control",0,7,25,"google","Chrome","Desktop"
41,2025-05-27 09:35:35,"VariantA",0,4,24,"direct","Mobile WebView","Mobile"
42,2025-06-11 13:35:25,"VariantC",0,7,23,"google","Chrome","Desktop"
43,2025-05-24 20:19:30,"VariantC",0,6,22,"google","Edge","Desktop"
44,2025-06-08 09:50:38,"Control",0,3,29,"facebook","Chrome","Desktop"
45,2025-05-30 02:14:22,"VariantC",0,3,36,"twitter","Safari","Mobile"
46,2025-06-09 02:57:24,"Control",0,5,22,"email","Chrome","Desktop"
47,2025-05-23 23:16:52,"VariantC",0,12,9,"google","Firefox","Mobile"
48,2025-06-13 19:48:08,"VariantA",0,7,14,"facebook","Firefox","Desktop"
49,2025-06-15 13:37:36,"Control",0,3,14,"google","Safari","Mobile"
50,2025-06-12 00:14:42,"VariantA",0,6,14,"twitter","Safari","Desktop"
51,2025-06-04 08:46:22,"Control",0,7,20,"direct","Edge","Mobile"
52,2025-05-22 14:53:48,"Control",0,4,18,"google","Firefox","Desktop"
53,2025-06-13 09:55:03,"VariantC",0,8,50,"direct","Chrome","Desktop"
54,2025-05-20 22:45:19,"Control",0,6,23,"email","Chrome","Mobile"
55,2025-06-03 13:12:46,"VariantA",0,4,25,"facebook","Firefox","Desktop"
56,2025-06-03 04:14:24,"Control",0,9,8,"email","Chrome","Mobile"
57,2025-06-02 02:18:47,"Control",0,8,30,"google","Safari","Desktop"
58,2025-06-01 21:18:33,"VariantC",0,6,40,"google","Chrome","Desktop"
59,2025-06-11 15:34:30,"Control",0,6,14,"google","Firefox","Mobile"
60,2025-06-02 15:37:58,"VariantA",0,4,34,"direct","Chrome","Desktop"
61,2025-06-14 01:45:46,"Control",0,4,58,"google","Mobile WebView","Mobile"
62,2025-06-01 15:04:38,"VariantC",0,6,32,"google","Firefox","Mobile"
63,2025-05-24 16:48:25,"Control",0,6,8,"google","Chrome","Desktop"
64,2025-05-20 08:19:48,"VariantC",0,5,51,"twitter","Safari","Desktop"
65,2025-05-18 12:34:23,"VariantA",0,9,17,"google","Chrome","Desktop"
66,2025-06-15 10:02:18,"VariantC",0,7,38,"google","Safari","Mobile"
67,2025-05-28 18:04:42,"VariantA",0,7,21,"facebook","Chrome","Mobile"
68,2025-06-14 04:20:23,"VariantA",0,2,31,"facebook","Safari","Desktop"
69,2025-05-19 20:04:19,"VariantC",0,7,25,"google","Chrome","Desktop"
70,2025-06-16 04:15:20,"VariantA",0,5,13,"direct","Chrome","Mobile"
71,2025-06-05 13:35:22,"VariantA",0,8,29,"google","Firefox","Desktop"
72,2025-06-12 16:48:55,"VariantC",0,7,19,"direct","Chrome","Desktop"
73,2025-06-09 13:33:59,"VariantC",0,3,18,"direct","Mobile WebView","Desktop"
74,2025-06-04 10:58:55,"Control",0,4,14,"direct","Chrome","Mobile"
75,2025-05-17 18:41:55,"VariantA",0,12,22,"direct","Chrome","Mobile"
76,2025-05-26 21:25:04,"VariantA",0,6,16,"direct","Edge","Mobile"
77,2025-06-02 23:35:32,"Control",0,7,16,"email","Chrome","Desktop"
78,2025-05-23 13:25:31,"VariantA",0,6,14,"google","Firefox","Mobile"
79,2025-05-25 04:16:22,"Control",0,6,37,"direct","Chrome","Desktop"
80,2025-05-29 18:02:00,"Control",0,7,22,"google","Chrome","Desktop"
81,2025-05-24 21:32:14,"VariantA",0,5,25,"email","Chrome","Desktop"
82,2025-05-23 12:24:03,"VariantC",0,6,37,"direct","Safari","Mobile"
83,2025-05-27 20:59:35,"VariantC",0,5,14,"twitter","Chrome","Mobile"
84,2025-06-04 01:38:54,"Control",0,7,21,"google","Safari","Mobile"
85,2025-06-08 12:32:04,"VariantA",0,4,16,"google","Chrome","Desktop"
86,2025-06-05 21:20:21,"Control",0,4,23,"google","Edge","Mobile"
87,2025-05-20 02:55:37,"VariantA",0,8,47,"facebook","Chrome","Mobile"
88,2025-05-17 14:57:22,"Control",0,6,12,"direct","Chrome","Mobile"
89,2025-06-10 17:33:43,"VariantC",0,3,13,"google","Mobile WebView","Mobile"
90,2025-05-28 13:57:35,"VariantC",0,10,37,"facebook","Chrome","Mobile"
91,2025-06-13 04:11:02,"VariantA",0,6,14,"direct","Chrome","Mobile"
92,2025-06-12 14:34:11,"VariantC",0,9,18,"google","Edge","Mobile"
93,2025-06-15 08:07:48,"Control",0,3,23,"google","Safari","Desktop"
94,2025-06-12 18:32:23,"VariantA",0,7,16,"google","Chrome","Mobile"
95,2025-06-08 08:38:59,"VariantA",0,2,18,"google","Chrome","Mobile"
96,2025-05-28 03:48:52,"VariantC",0,7,21,"direct","Chrome","Mobile"
97,2025-06-08 22:29:59,"VariantA",0,8,14,"email","Mobile WebView","Desktop"
98,2025-06-06 23:09:21,"Control",0,10,13,"email","Chrome","Desktop"
99,2025-06-11 09:36:06,"VariantC",0,4,13,"email","Safari","Mobile"
100,2025-06-04 01:51:15,"VariantC",0,7,14,"google","Firefox","Mobile"
101,2025-05-24 13:54:50,"VariantC",0,5,24,"email","Chrome","Desktop"
102,2025-06-10 22:31:51,"VariantA",0,8,32,"direct","Mobile WebView","Mobile"
103,2025-05-26 19:01:45,"VariantA",0,5,13,"facebook","Mobile WebView","Mobile"
104,2025-06-14 16:25:09,"VariantC",0,3,15,"facebook","Chrome","Mobile"
105,2025-06-15 23:43:30,"Control",0,5,13,"direct","Chrome","Mobile"
106,2025-06-01 18:04:00,"Control",0,6,29,"direct","Firefox","Desktop"
107,2025-05-25 06:43:27,"VariantC",0,4,20,"twitter","Chrome","Mobile"
108,2025-06-14 13:40:43,"VariantA",0,5,39,"google","Chrome","Desktop"
109,2025-05-30 16:32:04,"VariantA",0,6,29,"direct","Chrome","Desktop"
110,2025-06-11 16:21:52,"VariantA",0,6,17,"google","Mobile WebView","Desktop"
111,2025-05-23 15:53:47,"VariantA",0,7,17,"direct","Chrome","Desktop"
112,2025-05-30 22:12:18,"VariantA",0,4,18,"google","Mobile WebView","Mobile"
113,2025-05-26 18:54:34,"VariantA",0,5,15,"facebook","Chrome","Desktop"
114,2025-06-11 01:48:03,"VariantC",0,7,38,"google","Chrome","Mobile"
115,2025-05-26 05:05:29,"VariantA",0,6,22,"email","Chrome","Desktop"
116,2025-05-18 21:59:05,"Control",0,4,55,"facebook","Firefox","Desktop"
117,2025-05-23 13:33:46,"VariantA",0,7,30,"email","Safari","Desktop"
118,2025-06-14 04:02:05,"VariantA",0,7,26,"email","Chrome","Mobile"
119,2025-05-19 04:22:51,"VariantA",0,3,21,"google","Chrome","Desktop"
120,2025-06-01 06:43:04,"VariantC",0,5,16,"facebook","Chrome","Mobile"
121,2025-06-12 11:35:11,"VariantA",0,5,37,"email","Firefox","Mobile"
122,2025-05-25 16:43:43,"VariantC",0,9,32,"facebook","Chrome","Mobile"
123,2025-06-10 21:29:01,"VariantA",0,7,13,"google","Chrome","Mobile"
124,2025-06-08 03:15:07,"VariantC",0,2,8,"email","Edge","Mobile"
125,2025-05-25 02:33:03,"Control",0,6,24,"google","Chrome","Mobile"
126,2025-06-03 04:10:29,"VariantC",0,8,34,"email","Firefox","Mobile"
127,2025-05-25 05:40:37,"VariantC",0,6,30,"direct","Chrome","Mobile"
128,2025-06-03 12:14:54,"VariantC",0,7,16,"direct","Chrome","Mobile"
129,2025-05-25 02:05:17,"Control",0,8,9,"facebook","Chrome","Desktop"
130,2025-05-23 12:25:19,"VariantC",0,7,10,"direct","Edge","Mobile"
131,2025-06-14 08:08:44,"VariantC",0,6,24,"google","Firefox","Desktop"
132,2025-05-29 02:41:33,"VariantA",0,4,21,"google","Safari","Desktop"
133,2025-06-02 04:42:30,"VariantA",0,8,18,"google","Mobile WebView","Mobile"
134,2025-06-08 16:19:29,"VariantA",0,2,33,"google","Edge","Mobile"
135,2025-06-15 13:11:52,"VariantC",0,5,28,"google","Mobile WebView","Desktop"
136,2025-06-13 05:50:43,"VariantC",0,5,31,"facebook","Chrome","Mobile"
137,2025-05-21 10:40:57,"VariantC",0,4,28,"google","Edge","Desktop"
138,2025-05-19 16:32:22,"VariantA",0,4,37,"email","Chrome","Desktop"
139,2025-05-18 22:22:06,"Control",0,6,32,"google","Chrome","Mobile"
140,2025-06-07 20:38:25,"VariantA",0,5,28,"google","Chrome","Mobile"
141,2025-06-10 13:10:51,"Control",0,7,8,"direct","Edge","Desktop"
142,2025-05-18 21:25:59,"VariantC",0,2,37,"facebook","Firefox","Desktop"
143,2025-06-13 08:11:44,"VariantC",0,5,22,"twitter","Chrome","Desktop"
144,2025-06-07 09:31:11,"VariantA",0,8,15,"direct","Chrome","Mobile"
145,2025-06-15 08:20:28,"Control",0,9,26,"twitter","Chrome","Mobile"
146,2025-06-10 12:44:06,"VariantC",0,7,13,"direct","Safari","Mobile"
147,2025-05-23 13:37:28,"Control",0,5,30,"google","Chrome","Mobile"
148,2025-06-01 08:12:16,"VariantC",0,7,16,"google","Firefox","Desktop"
149,2025-05-18 01:31:13,"VariantA",0,2,14,"google","Chrome","Desktop"
150,2025-06-01 10:26:44,"VariantA",0,5,7,"email","Safari","Desktop"
151,2025-05-26 19:43:27,"Control",0,7,13,"twitter","Edge","Desktop"
152,2025-06-02 07:54:34,"VariantC",0,5,24,"google","Chrome","Desktop"
153,2025-06-11 17:40:02,"VariantA",0,5,35,"email","Chrome","Desktop"
154,2025-05-28 11:43:32,"Control",0,6,11,"google","Chrome","Desktop"
155,2025-05-21 01:08:14,"VariantC",0,4,16,"direct","Safari","Desktop"
156,2025-06-12 04:45:02,"VariantC",0,5,27,"twitter","Safari","Desktop"
157,2025-06-01 23:19:58,"VariantC",0,5,22,"email","Safari","Mobile"
158,2025-05-20 22:21:32,"Control",0,6,13,"email","Chrome","Desktop"
159,2025-06-04 17:03:13,"VariantA",0,7,45,"direct","Safari","Desktop"
160,2025-06-07 03:29:28,"VariantA",0,6,18,"google","Safari","Desktop"
161,2025-06-15 11:26:22,"Control",0,11,22,"facebook","Chrome","Mobile"
162,2025-05-31 22:19:57,"VariantA",0,8,13,"facebook","Chrome","Mobile"
163,2025-06-11 22:50:36,"VariantC",0,2,10,"direct","Safari","Mobile"
164,2025-05-20 19:52:46,"VariantC",0,5,39,"google","Chrome","Desktop"
165,2025-06-01 20:39:16,"Control",0,7,9,"direct","Chrome","Desktop"
166,2025-06-15 07:26:45,"VariantA",0,6,13,"google","Mobile WebView","Mobile"
167,2025-06-04 13:09:10,"Control",0,3,20,"google","Firefox","Desktop"
168,2025-05-23 09:59:12,"VariantA",0,4,23,"google","Edge","Mobile"
169,2025-05-31 13:20:21,"VariantC",0,8,20,"google","Safari","Mobile"
170,2025-05-20 03:38:20,"VariantC",0,4,10,"google","Chrome","Desktop"
171,2025-06-10 23:03:29,"Control",0,8,27,"google","Edge","Desktop"
172,2025-05-24 10:46:22,"VariantC",0,7,12,"google","Chrome","Desktop"
173,2025-06-02 11:59:56,"VariantA",0,9,18,"facebook","Firefox","Mobile"
174,2025-06-03 18:52:46,"Control",0,8,22,"twitter","Safari","Mobile"
175,2025-06-07 21:23:21,"Control",0,5,17,"twitter","Safari","Desktop"
176,2025-05-21 00:59:38,"VariantA",0,6,16,"facebook","Safari","Mobile"
177,2025-06-13 18:02:02,"VariantC",0,7,29,"facebook","Safari","Desktop"
178,2025-06-06 04:40:38,"Control",0,3,68,"email","Chrome","Mobile"
179,2025-06-15 06:12:04,"VariantA",0,5,40,"google","Chrome","Mobile"
180,2025-05-26 10:42:05,"VariantA",0,9,19,"facebook","Chrome","Mobile"
181,2025-06-15 00:46:13,"Control",0,7,15,"twitter","Mobile WebView","Desktop"
182,2025-05-22 20:21:01,"VariantA",1,11,34,"twitter","Chrome","Mobile"
183,2025-05-21 04:44:32,"Control",0,7,8,"twitter","Edge","Desktop"
184,2025-06-06 02:47:01,"Control",0,12,6,"direct","Chrome","Desktop"
185,2025-06-01 17:41:21,"VariantA",0,5,25,"facebook","Firefox","Desktop"
186,2025-05-23 08:06:26,"Control",0,6,12,"google","Chrome","Desktop"
187,2025-06-15 14:21:13,"VariantC",0,12,20,"direct","Edge","Desktop"
188,2025-05-25 02:48:18,"Control",0,3,27,"google","Firefox","Desktop"
189,2025-05-19 13:18:27,"Control",0,5,36,"twitter","Edge","Desktop"
190,2025-05-22 22:36:38,"VariantA",0,3,26,"direct","Chrome","Mobile"
191,2025-06-15 17:22:48,"Control",0,9,13,"google","Safari","Mobile"
192,2025-06-03 12:06:02,"VariantA",0,4,13,"google","Safari","Mobile"
193,2025-05-22 20:14:16,"Control",1,3,22,"google","Mobile WebView","Mobile"
194,2025-06-15 06:34:52,"Control",0,5,8,"facebook","Firefox","Mobile"
195,2025-06-09 12:29:16,"Control",0,4,10,"direct","Chrome","Mobile"
196,2025-06-06 00:19:49,"VariantC",0,6,26,"direct","Edge","Mobile"
197,2025-05-22 06:34:23,"VariantC",0,6,35,"google","Chrome","Desktop"
198,2025-06-15 16:35:46,"VariantA",0,4,24,"google","Edge","Mobile"
199,2025-05-19 00:22:29,"Control",0,4,12,"email","Firefox","Desktop"
200,2025-05-29 15:44:28,"VariantA",0,3,48,"email","Mobile WebView","Desktop"
201,2025-05-25 03:14:55,"VariantC",0,8,13,"google","Chrome","Desktop"
202,2025-06-13 18:02:24,"VariantA",0,3,33,"twitter","Safari","Mobile"
203,2025-06-01 23:03:07,"VariantC",0,5,17,"google","Chrome","Mobile"
204,2025-05-22 16:53:03,"VariantA",0,4,19,"facebook","Safari","Desktop"
205,2025-05-24 21:40:21,"VariantC",0,6,35,"facebook","Edge","Mobile"
206,2025-05-18 19:42:37,"Control",0,8,36,"google","Firefox","Desktop"
207,2025-06-09 07:55:05,"Control",0,7,26,"twitter","Safari","Desktop"
208,2025-06-01 16:40:23,"Control",0,3,25,"facebook","Firefox","Mobile"
209,2025-06-06 06:09:10,"Control",0,3,21,"direct","Safari","Desktop"
210,2025-06-08 16:44:19,"VariantC",0,6,13,"facebook","Chrome","Desktop"
211,2025-06-01 00:43:33,"VariantA",0,12,22,"google","Mobile WebView","Desktop"
212,2025-05-25 15:12:59,"Control",0,5,34,"google","Chrome","Mobile"
213,2025-06-04 08:55:25,"VariantA",1,5,15,"google","Safari","Desktop"
214,2025-05-23 10:54:40,"Control",0,4,13,"twitter","Chrome","Mobile"
215,2025-05-28 16:42:21,"VariantC",0,6,25,"direct","Chrome","Mobile"
216,2025-05-31 20:16:14,"VariantC",0,7,10,"twitter","Edge","Mobile"
217,2025-05-26 21:12:45,"Control",0,7,31,"facebook","Chrome","Mobile"
218,2025-05-23 09:07:13,"VariantA",0,9,13,"google","Edge","Mobile"
219,2025-06-02 19:21:34,"VariantC",0,4,13,"direct","Safari","Mobile"
220,2025-05-25 16:26:40,"Control",0,6,27,"google","Edge","Desktop"
221,2025-05-20 15:16:54,"VariantC",0,5,15,"google","Chrome","Desktop"
222,2025-06-06 13:48:54,"VariantA",0,4,26,"direct","Chrome","Mobile"
223,2025-06-09 20:51:28,"Control",0,6,14,"google","Chrome","Mobile"
224,2025-05-22 00:22:14,"Control",0,5,14,"twitter","Safari","Desktop"
225,2025-05-23 16:11:47,"Control",0,7,37,"google","Chrome","Mobile"
226,2025-06-12 15:14:21,"Control",0,7,22,"twitter","Edge","Desktop"
227,2025-06-14 10:48:19,"Control",0,6,10,"facebook","Chrome","Desktop"
228,2025-06-12 18:50:25,"VariantC",0,9,20,"twitter","Chrome","Desktop"
229,2025-06-03 18:34:24,"VariantA",0,8,20,"email","Edge","Desktop"
230,2025-05-18 16:02:09,"VariantA",0,7,8,"twitter","Firefox","Desktop"
231,2025-06-05 19:39:55,"VariantA",0,4,21,"google","Edge","Mobile"
232,2025-05-30 22:28:29,"VariantC",0,7,27,"direct","Chrome","Desktop"
233,2025-05-28 17:17:09,"Control",0,5,15,"direct","Firefox","Desktop"
234,2025-05-27 10:13:25,"VariantA",0,2,23,"direct","Firefox","Mobile"
235,2025-05-29 05:03:12,"VariantA",0,7,20,"direct","Safari","Desktop"
236,2025-06-15 07:58:43,"Control",0,9,13,"direct","Firefox","Mobile"
237,2025-06-05 12:37:14,"VariantA",0,3,12,"facebook","Safari","Mobile"
238,2025-06-09 12:58:48,"Control",0,8,15,"facebook","Edge","Mobile"
239,2025-05-19 05:31:02,"Control",0,5,36,"direct","Mobile WebView","Desktop"
240,2025-05-31 19:44:25,"VariantA",0,9,62,"google","Chrome","Desktop"
241,2025-05-26 17:33:42,"VariantC",0,10,10,"google","Safari","Desktop"
242,2025-05-24 12:11:23,"Control",0,7,27,"google","Chrome","Mobile"
243,2025-05-24 08:02:45,"VariantC",0,6,22,"google","Firefox","Mobile"
244,2025-05-28 12:31:27,"Control",0,5,32,"google","Firefox","Mobile"
245,2025-05-20 20:38:21,"VariantA",0,4,29,"facebook","Firefox","Desktop"
246,2025-05-30 05:35:21,"Control",0,8,32,"direct","Firefox","Mobile"
247,2025-05-18 23:57:45,"VariantA",0,7,13,"google","Chrome","Desktop"
248,2025-06-11 11:20:11,"VariantA",0,4,55,"direct","Safari","Mobile"
249,2025-05-30 01:44:35,"VariantA",1,3,37,"google","Safari","Mobile"
250,2025-05-31 11:58:57,"VariantC",0,5,30,"google","Chrome","Mobile"
251,2025-05-25 18:53:00,"Control",0,5,12,"twitter","Chrome","Desktop"
252,2025-05-29 20:17:00,"Control",0,5,14,"direct","Mobile WebView","Mobile"
253,2025-06-14 18:07:08,"Control",0,5,12,"facebook","Firefox","Desktop"
254,2025-06-15 04:28:50,"Control",0,7,16,"google","Chrome","Mobile"
255,2025-06-13 16:06:57,"VariantC",0,2,15,"direct","Chrome","Mobile"
256,2025-05-31 12:04:36,"Control",0,5,12,"google","Edge","Desktop"
257,2025-06-05 05:26:49,"VariantA",0,3,29,"google","Mobile WebView","Desktop"
258,2025-05-17 14:10:06,"Control",0,7,32,"google","Firefox","Mobile"
259,2025-06-06 03:00:45,"VariantA",0,5,52,"twitter","Firefox","Desktop"
260,2025-06-01 16:11:05,"VariantA",0,8,28,"twitter","Edge","Mobile"
261,2025-05-25 14:41:30,"Control",0,7,27,"google","Chrome","Desktop"
262,2025-06-15 23:50:46,"Control",0,6,41,"direct","Safari","Mobile"
263,2025-05-25 14:22:09,"Control",0,7,52,"email","Chrome","Desktop"
264,2025-06-07 17:49:09,"Control",0,7,17,"google","Chrome","Mobile"
265,2025-05-18 03:31:01,"VariantC",0,5,21,"google","Chrome","Desktop"
266,2025-06-04 20:03:22,"Control",0,2,61,"google","Safari","Desktop"
267,2025-05-28 11:22:36,"Control",0,2,16,"google","Chrome","Mobile"
268,2025-06-12 14:54:34,"Control",0,9,11,"google","Safari","Desktop"
269,2025-05-31 09:34:46,"VariantA",0,7,13,"facebook","Chrome","Desktop"
270,2025-05-26 09:36:53,"VariantA",0,7,15,"google","Safari","Mobile"
271,2025-05-30 11:35:29,"VariantC",0,6,16,"google","Firefox","Mobile"
272,2025-06-05 07:22:38,"VariantA",0,4,25,"facebook","Chrome","Desktop"
273,2025-06-05 20:43:06,"VariantC",0,9,17,"facebook","Chrome","Desktop"
274,2025-05-24 22:14:49,"Control",0,2,22,"google","Chrome","Mobile"
275,2025-05-18 15:23:32,"Control",0,7,18,"google","Edge","Desktop"
276,2025-06-07 12:09:45,"Control",0,10,29,"direct","Chrome","Mobile"
277,2025-05-22 01:39:01,"Control",0,8,20,"google","Edge","Mobile"
278,2025-06-08 12:04:33,"Control",0,8,18,"google","Edge","Mobile"
279,2025-06-01 04:35:58,"VariantC",0,2,7,"facebook","Chrome","Desktop"
280,2025-06-15 02:08:46,"Control",0,8,22,"direct","Chrome","Mobile"
281,2025-06-07 06:37:40,"Control",0,3,20,"google","Edge","Mobile"
282,2025-05-31 16:03:55,"VariantC",0,10,31,"facebook","Safari","Desktop"
283,2025-06-07 09:06:45,"VariantC",0,2,33,"google","Chrome","Desktop"
284,2025-05-25 22:33:32,"VariantA",0,4,24,"facebook","Chrome","Desktop"
285,2025-05-21 08:51:13,"Control",0,4,10,"email","Chrome","Desktop"
286,2025-06-14 17:16:23,"Control",0,8,14,"twitter","Chrome","Desktop"
287,2025-06-11 05:57:34,"Control",0,5,24,"google","Chrome","Mobile"
288,2025-06-07 08:36:04,"VariantA",0,3,10,"twitter","Chrome","Desktop"
289,2025-06-05 05:23:00,"Control",0,3,27,"email","Chrome","Mobile"
290,2025-05-24 00:00:28,"VariantA",0,5,15,"google","Chrome","Mobile"
291,2025-05-28 22:29:10,"Control",0,5,16,"facebook","Chrome","Desktop"
292,2025-06-10 09:21:38,"Control",0,5,25,"google","Edge","Mobile"
293,2025-05-20 20:49:37,"VariantC",0,6,20,"facebook","Firefox","Mobile"
294,2025-05-20 14:44:44,"VariantC",0,6,28,"email","Firefox","Desktop"
295,2025-05-31 08:30:59,"VariantA",0,10,12,"google","Safari","Mobile"
296,2025-05-20 21:12:05,"VariantA",0,6,13,"google","Chrome","Mobile"
297,2025-05-21 01:17:23,"Control",0,8,32,"facebook","Safari","Mobile"
298,2025-05-20 00:04:56,"VariantC",0,7,14,"twitter","Chrome","Mobile"
299,2025-05-21 08:21:53,"Control",0,10,16,"facebook","Chrome","Mobile"
300,2025-05-18 12:42:04,"Control",0,4,16,"facebook","Firefox","Desktop"
301,2025-05-28 20:44:22,"VariantA",0,8,16,"google","Safari","Mobile"
302,2025-06-01 19:55:59,"Control",0,4,13,"google","Chrome","Desktop"
303,2025-06-11 13:24:59,"VariantA",0,3,23,"google","Chrome","Desktop"
304,2025-05-20 13:34:05,"VariantA",0,5,19,"google","Mobile WebView","Desktop"
305,2025-06-10 00:11:55,"VariantA",0,7,14,"facebook","Chrome","Mobile"
306,2025-06-06 16:15:41,"VariantA",0,5,28,"facebook","Safari","Mobile"
307,2025-06-01 15:57:20,"VariantC",0,9,11,"facebook","Chrome","Mobile"
308,2025-06-13 08:42:50,"VariantC",0,4,45,"direct","Safari","Mobile"
309,2025-05-26 06:37:45,"VariantC",0,8,19,"google","Chrome","Desktop"
310,2025-05-25 18:25:29,"VariantC",0,7,33,"google","Edge","Desktop"
311,2025-06-06 10:28:45,"Control",0,5,24,"direct","Chrome","Desktop"
312,2025-05-20 21:31:20,"VariantC",0,5,23,"google","Chrome","Mobile"
313,2025-06-01 16:37:08,"VariantC",0,5,28,"google","Chrome","Desktop"
314,2025-06-05 23:58:15,"VariantC",0,9,36,"facebook","Chrome","Desktop"
315,2025-06-05 02:11:53,"VariantA",0,5,16,"direct","Chrome","Desktop"
316,2025-05-23 16:23:12,"VariantC",0,5,24,"twitter","Chrome","Desktop"
317,2025-06-03 19:42:50,"VariantC",0,6,18,"google","Chrome","Mobile"
318,2025-06-13 18:16:28,"VariantC",0,2,32,"google","Chrome","Desktop"
319,2025-06-06 09:18:47,"Control",0,5,38,"facebook","Chrome","Desktop"
320,2025-05-19 19:55:00,"Control",0,8,39,"direct","Safari","Mobile"
321,2025-05-22 03:32:23,"VariantC",0,7,23,"direct","Chrome","Desktop"
322,2025-06-04 13:06:38,"VariantA",0,4,10,"facebook","Safari","Mobile"
323,2025-06-08 05:19:48,"VariantC",0,8,9,"direct","Chrome","Desktop"
324,2025-06-05 23:29:50,"VariantA",0,7,30,"google","Firefox","Desktop"
325,2025-06-13 02:23:01,"Control",0,5,7,"google","Firefox","Mobile"
326,2025-05-25 00:40:26,"VariantA",0,7,37,"google","Edge","Desktop"
327,2025-05-30 19:28:44,"VariantA",0,5,45,"twitter","Firefox","Mobile"
328,2025-05-27 09:32:24,"VariantA",0,3,22,"direct","Chrome","Mobile"
329,2025-05-23 21:48:06,"Control",0,8,17,"facebook","Safari","Desktop"
330,2025-06-09 16:41:55,"Control",0,5,15,"google","Firefox","Desktop"
331,2025-05-31 10:24:25,"Control",0,7,14,"direct","Safari","Desktop"
332,2025-05-22 20:15:47,"VariantC",0,5,18,"google","Safari","Desktop"
333,2025-05-30 22:03:44,"VariantC",0,9,11,"direct","Chrome","Desktop"
334,2025-05-23 18:11:55,"Control",0,6,18,"facebook","Chrome","Desktop"
335,2025-05-28 18:39:38,"Control",0,8,30,"direct","Chrome","Desktop"
336,2025-05-26 05:54:50,"VariantC",0,5,9,"google","Chrome","Mobile"
337,2025-06-08 03:19:58,"Control",0,6,26,"direct","Chrome","Mobile"
338,2025-05-19 20:18:08,"VariantC",0,5,49,"direct","Firefox","Desktop"
339,2025-06-10 08:22:35,"VariantA",0,5,14,"direct","Safari","Desktop"
